Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202302,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"21,835",879,0,0,"21,835",879,Final,,,
202302,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Japan,"473,174","24,545",0,0,"473,174","24,545",Final,,,
202302,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Oman,"6,939",514,0,0,"6,939",514,Final,,,
202302,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,French Polynesia,"17,629","1,146",0,0,"17,629","1,146",Final,,,
202302,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Saudi Arabia,"26,657",903,0,0,"26,657",903,Final,,,
202302,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Singapore,"40,166","1,414",0,0,"40,166","1,414",Final,,,
202302,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Taiwan,"80,128","7,007",0,0,"80,128","7,007",Final,,,
202302,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Viet Nam,"58,298","2,502",0,0,"58,298","2,502",Final,,,
202302,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"China, People's Republic of","747,467","150,863",0,0,"747,467","150,863",Final,,,
202302,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"Samoa, American","117,979","17,129",0,0,"117,979","17,129",Final,,,
202302,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Bahrain,"8,727",526,0,0,"8,727",526,Final,,,
202302,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"China, People's Republic of","12,551,301","1,696,395","86,380","8,379","12,637,681","1,704,774",Final,,,
202302,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Fiji,661,82,0,0,661,82,Final,,,
202302,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Indonesia,"119,972","49,885",0,0,"119,972","49,885",Final,,,
202302,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"Korea, Republic of","3,156,169","451,209",0,0,"3,156,169","451,209",Final,,,
202302,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Malaysia,"118,139","22,908",0,0,"118,139","22,908",Final,,,
202302,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Netherlands,"34,806","1,503",0,0,"34,806","1,503",Final,,,
202302,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,French Polynesia,"16,842",715,0,0,"16,842",715,Final,,,
202302,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Singapore,"16,377","1,012",0,0,"16,377","1,012",Final,,,
202302,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Thailand,"21,189","2,198",0,0,"21,189","2,198",Final,,,
202302,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Tonga,"344,831","48,283",0,0,"344,831","48,283",Final,,,
202302,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Taiwan,"28,062","5,609",0,0,"28,062","5,609",Final,,,
202302,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,United States of America,"5,435",937,0,0,"5,435",937,Final,,,
202302,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Samoa,"92,964","12,912",0,0,"92,964","12,912",Final,,,
202302,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"China, People's Republic of","2,626,385","1,224,731",0,0,"2,626,385","1,224,731",Final,,,
202302,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Japan,36,13,0,0,36,13,Final,,,
202302,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"Korea, Republic of","145,241","21,876",0,0,"145,241","21,876",Final,,,
202302,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Malaysia,"1,051,279","283,587",0,0,"1,051,279","283,587",Final,,,
202302,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"China, People's Republic of","6,124,823","1,079,431",0,0,"6,124,823","1,079,431",Final,,,
202302,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Germany,"111,624","5,022",0,0,"111,624","5,022",Final,,,
202302,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"Korea, Republic of","2,535,575","386,897",0,0,"2,535,575","386,897",Final,,,
202302,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Singapore,"15,843","1,927",0,0,"15,843","1,927",Final,,,
202302,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Taiwan,"50,692","8,116",0,0,"50,692","8,116",Final,,,
202302,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,Australia,"29,414","14,200",0,0,"29,414","14,200",Final,,,
202302,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"China, People's Republic of","1,340,453","276,992",0,0,"1,340,453","276,992",Final,,,
202302,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,Japan,680,19,0,0,680,19,Final,,,
202302,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"Korea, Republic of","13,182","2,889",0,0,"13,182","2,889",Final,,,
202302,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,Papua New Guinea,"13,622",709,0,0,"13,622",709,Final,,,
202302,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,Philippines,"62,761","22,993",0,0,"62,761","22,993",Final,,,
202302,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,Taiwan,"30,288","23,101",0,0,"30,288","23,101",Final,,,
202302,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"Samoa, American","252,648","29,093",0,0,"252,648","29,093",Final,,,
202302,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,Australia,"153,016","19,040",0,0,"153,016","19,040",Final,,,
202302,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,Barbados,"431,134","45,427",0,0,"431,134","45,427",Final,,,
202302,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,Bahrain,"3,030",262,0,0,"3,030",262,Final,,,
202302,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,Canada,"2,853,869","405,130",0,0,"2,853,869","405,130",Final,,,
202302,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,Cook Islands,"26,239","1,425",0,0,"26,239","1,425",Final,,,
202302,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"China, People's Republic of","69,658,090","7,983,097","927,276","131,712","70,585,366","8,114,809",Final,,,
202302,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,Cyprus,"81,399","2,723",0,0,"81,399","2,723",Final,,,
202302,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,Germany,"932,544","42,238",0,0,"932,544","42,238",Final,,,
