Month,Harmonised System Code,Harmonised System Description,Unit Qty,Imports ($NZD vfd),Imports ($NZD cif),Imports Qty,Status
202307,0403200900,"Dairy produce; yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa n.e.c. in item 0403.20",KGM,"674,500","706,423","71,581",Provisional
202307,0403901100,"Dairy produce; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, concentrated or sweetened, with or without flavouring, fruit, nuts, cocoa, liquid or semi-solid (excluding yoghurt)",KGM,"54,107","56,101","16,820",Provisional
202307,0403901901,"Dairy produce; buttermilk powder, produced by a spray process, concentrated or sweetened, with or without flavouring, added fruit, nuts or cocoa",KGM,"1,104","1,200",175,Provisional
202307,0403901909,"Dairy produce; buttermilk powder, produced by other than a spray process, concentrated or sweetened, with or without flavouring, added fruit, nuts or cocoa",KGM,507,529,23,Provisional
202307,0403901919,"Dairy produce; fermented or acidified milk and cream, concentrated or sweetened, in powder or granules, containing more than 1.5% by way of fat, n.e.c. in heading no. 0403",KGM,"7,267","7,400",300,Provisional
202307,0403901939,"Dairy produce; fermented or acidified milk and cream, other than condensed or evaporated, n.e.c. in heading no. 0403",KGM,110,239,72,Provisional
202307,0404100000,"Dairy produce; whey, whether or not concentrated or containing added sugar or other sweetening matter",KGM,"4,533,550","4,827,459","601,813",Provisional
202307,0404900100,"Dairy produce; natural milk constituents (excluding whey), not concentrated or sweetened, n.e.c. in chapter 4",KGM,"17,202","18,869",421,Provisional
202307,0405100009,"Dairy produce; derived from milk, butter, salted, creamery, in pats",KGM,"236,163","238,675","17,123",Provisional
202307,0405900005,"Dairy produce; fats and oils derived from milk (other than butter or dairy spreads), ghee",KGM,"656,214","665,982","54,343",Provisional
202307,0405900009,"Dairy produce; fats and oils derived from milk (other than butter or dairy spreads), other than anhydrous milk fat or ghee",KGM,"4,556","4,786",257,Provisional
202307,0406100001,"Dairy produce; fresh cheese (including whey cheese), not fermented",KGM,"949,644","977,840","98,200",Provisional
202307,0406200001,"Dairy produce; cheese, cheddar, grated or powdered",KGM,"108,054","110,009","5,051",Provisional
202307,0406200029,"Dairy produce; cheese, grated or powdered, n.e.c. in item no. 0406.20",KGM,"379,917","385,088","42,490",Provisional
202307,0406300000,"Dairy produce; cheese, processed (not grated or powdered)",KGM,"1,734,467","1,766,915","141,688",Provisional
202307,0406400000,"Dairy produce; cheese, blue-veined and other cheese containing veins produced by Penicillium roqueforti (not grated, powdered or processed)",KGM,"474,621","484,505","22,782",Provisional
202307,0406900011,"Dairy produce; cheese, cheddar (other than in tins, not grated, powdered or processed)",KGM,"330,423","337,358","40,305",Provisional
202307,0406900031,"Dairy produce; cheese, gouda (other than in tins, not grated, powdered or processed)",KGM,"171,586","180,057","10,364",Provisional
202307,0406900039,"Dairy produce; cheese, (other than in tins, not grated, powdered or processed), n.e.c. in item no. 0406.90",KGM,"7,958,921","8,264,487","975,292",Provisional
202307,0407900000,"Birds' eggs, in shell; preserved or cooked",KGM,"81,145","84,973","12,870",Provisional
202307,0408110000,"Eggs; birds' eggs, yolks, dried, whether or not containing added sugar or other sweetening matter",KGM,"31,756","31,853","2,150",Provisional
202307,0408190001,"Eggs; birds' eggs, yolks, liquid",KGM,"81,665","83,875","7,500",Provisional
