Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201910,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"2,315,362","232,977",0,0,"2,315,362","232,977",Final,,,,
201910,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"610,559","45,762",0,0,"610,559","45,762",Final,,,,
201910,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"356,989","20,463",0,0,"356,989","20,463",Final,,,,
201910,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"657,542","58,156",0,0,"657,542","58,156",Final,,,,
201910,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"1,650,840","250,247",0,0,"1,650,840","250,247",Final,,,,
201910,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"1,017,295","754,519",0,0,"1,017,295","754,519",Final,,,,
201910,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"684,032","215,366",0,0,"684,032","215,366",Final,,,,
201910,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"395,932","89,559",0,0,"395,932","89,559",Final,,,,
201910,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"164,556","12,750",0,0,"164,556","12,750",Final,,,,
201910,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"5,722,310","957,242",0,0,"5,722,310","957,242",Final,,,,
201910,206490019,"Offal, edible; of swine, n.e.c. in item no. 0206.4, frozen",KGM,"1,147",592,0,0,"1,147",592,Final,,,,
201910,206900001,"Offal, edible; of lamb, brains, frozen",KGM,"25,980","2,132",0,0,"25,980","2,132",Final,,,,
201910,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"323,945","99,661",0,0,"323,945","99,661",Final,,,,
201910,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"1,169,833","103,329",0,0,"1,169,833","103,329",Final,,,,
201910,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"667,076","416,135",0,0,"667,076","416,135",Final,,,,
201910,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"120,953","16,968",0,0,"120,953","16,968",Final,,,,
201910,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"164,829","26,032",0,0,"164,829","26,032",Final,,,,
201910,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"1,707,992","325,872",0,0,"1,707,992","325,872",Final,,,,
201910,206900041,"Offal, edible; of sheep (excluding lamb), brains, frozen",KGM,"22,853","1,882",0,0,"22,853","1,882",Final,,,,
201910,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"54,210","14,606",0,0,"54,210","14,606",Final,,,,
201910,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"485,705","234,044",0,0,"485,705","234,044",Final,,,,
201910,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"81,984","15,078",0,0,"81,984","15,078",Final,,,,
201910,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"461,540","113,424",0,0,"461,540","113,424",Final,,,,
201910,206900081,"Offal, edible; of goats, horses, asses, mules or hinnies, hearts, frozen",KGM,"1,592",514,0,0,"1,592",514,Final,,,,
201910,206900099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.90, frozen",KGM,"19,827","3,589",0,0,"19,827","3,589",Final,,,,
201910,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"21,492","4,934",0,0,"21,492","4,934",Final,,,,
201910,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"951,522","277,395",0,0,"951,522","277,395",Final,,,,
201910,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"425,990","41,442",0,0,"425,990","41,442",Final,,,,
201910,207141000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, livers",KGM,93,45,0,0,93,45,Final,,,,
201910,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"2,255,627","829,564",0,0,"2,255,627","829,564",Final,,,,
201910,207240000,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled",KGM,708,30,0,0,708,30,Final,,,,
201910,207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,"72,712","5,289",0,0,"72,712","5,289",Final,,,,
201910,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"11,089","4,022",0,0,"11,089","4,022",Final,,,,
201910,207410010,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled",KGM,"1,509",129,0,0,"1,509",129,Final,,,,
201910,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"83,233","12,383",0,0,"83,233","12,383",Final,,,,
201910,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"6,466",263,0,0,"6,466",263,Final,,,,
201910,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"309,421","3,725",0,0,"309,421","3,725",Final,,,,
201910,208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"400,644","1,448",0,0,"400,644","1,448",Final,,,,
201910,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"80,386","8,945",0,0,"80,386","8,945",Final,,,,
201910,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"11,262,023","494,846",0,0,"11,262,023","494,846",Final,,,,
201910,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"5,289,265","457,224",0,0,"5,289,265","457,224",Final,,,,
201910,208900049,"Meat and edible meat offal; n.e.c. in chapter 02, fresh, chilled or frozen",KGM,"1,630",40,0,0,"1,630",40,Final,,,,
201910,210110009,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine or dried",KGM,"1,153",140,0,0,"1,153",140,Final,,,,
201910,210120000,"Meat; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",KGM,"24,265","2,220",0,0,"24,265","2,220",Final,,,,
201910,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"69,157","6,419",0,0,"69,157","6,419",Final,,,,
201910,210190019,"Meat; of swine, n.e.c. in heading 0210, smoked",KGM,"1,425",82,0,0,"1,425",82,Final,,,,
201910,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"54,926","11,222",314,6,"55,240","11,228",Final,,,,
201910,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"26,695",616,0,0,"26,695",616,Final,,,,
201910,210992000,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, poultry liver",KGM,"2,375","1,500",0,0,"2,375","1,500",Final,,,,
201910,210993049,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"815,137","5,700",0,0,"815,137","5,700",Final,,,,
201910,301920000,"Fish; live, eels (anguilla spp.)",KGM,"40,582","2,653",0,0,"40,582","2,653",Final,,,,
201910,302110005,"Fish; fresh or chilled, trout (Salmo trutta, Salmo gairdneri, Salmo clarki, Salmo aguabonita, Salmo gilae), headed and gutted",KGM,438,80,0,0,438,80,Final,,,,
201910,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"5,818,802","265,477",0,0,"5,818,802","265,477",Final,,,,
201910,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"536,219","27,255",0,0,"536,219","27,255",Final,,,,
201910,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,049,282","58,152",0,0,"1,049,282","58,152",Final,,,,
201910,302230001,"Fish; fresh or chilled, sole (Solea spp.), whole",KGM,"1,698",200,0,0,"1,698",200,Final,,,,
201910,302230029,"Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,219,20,0,0,219,20,Final,,,,
201910,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"8,175",952,0,0,"8,175",952,Final,,,,
201910,302240029,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,232,16,0,0,232,16,Final,,,,
201910,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"151,373","12,791",0,0,"151,373","12,791",Final,,,,
201910,302290012,"Fish; fresh or chilled, lemon sole, whole",KGM,"2,608",293,0,0,"2,608",293,Final,,,,
201910,302290021,"Fish; fresh or chilled, New Zealand sole, whole",KGM,"1,017",130,0,0,"1,017",130,Final,,,,
201910,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"62,899","4,328",0,0,"62,899","4,328",Final,,,,
201910,302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,"2,087",179,0,0,"2,087",179,Final,,,,
201910,302350035,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), headed and gutted",KGM,"2,097",179,0,0,"2,097",179,Final,,,,
201910,302360012,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), headed and gutted",KGM,924,79,0,0,924,79,Final,,,,
201910,302390007,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, whole",KGM,160,14,0,0,160,14,Final,,,,
201910,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"32,686","2,355",0,0,"32,686","2,355",Final,,,,
201910,302490019,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,488,54,0,0,488,54,Final,,,,
201910,302510010,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), whole",KGM,"2,025",108,0,0,"2,025",108,Final,,,,
201910,302510015,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), headed and gutted",KGM,"2,115",127,0,0,"2,115",127,Final,,,,
201910,302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"1,345",197,0,0,"1,345",197,Final,,,,
201910,302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"7,193",352,0,0,"7,193",352,Final,,,,
201910,302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,709,102,0,0,709,102,Final,,,,
201910,302590029,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"34,956","2,272",0,0,"34,956","2,272",Final,,,,
201910,302740010,"Fish; fresh or chilled, eels (Anguilla spp.), whole",KGM,"6,939",405,0,0,"6,939",405,Final,,,,
201910,302740029,"Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"10,210",565,0,0,"10,210",565,Final,,,,
201910,302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"124,199","13,419",0,0,"124,199","13,419",Final,,,,
201910,302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"228,661","31,232",0,0,"228,661","31,232",Final,,,,
201910,302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"40,530","4,829",0,0,"40,530","4,829",Final,,,,
201910,302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"2,798,662","254,381",0,0,"2,798,662","254,381",Final,,,,
201910,302850019,"Fish; fresh or chilled, seabream (Sparidae), other than snapper, whole",KGM,"12,009",767,0,0,"12,009",767,Final,,,,
201910,302850033,"Fish; fresh or chilled, seabream (Sparidae), snapper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"25,762","1,812",0,0,"25,762","1,812",Final,,,,
201910,302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"369,885","27,135",0,0,"369,885","27,135",Final,,,,
201910,302891015,"Fish; fresh or chilled, groper, whole",KGM,"469,467","32,500",0,0,"469,467","32,500",Final,,,,
201910,302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"16,773","1,769",0,0,"16,773","1,769",Final,,,,
201910,302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"195,933","16,465",0,0,"195,933","16,465",Final,,,,
201910,302891035,"Fish; fresh or chilled, monkfish, whole",KGM,653,50,0,0,653,50,Final,,,,
201910,302891039,"Fish; fresh or chilled, mullet, whole",KGM,"2,704",272,0,0,"2,704",272,Final,,,,
201910,302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"25,394","2,824",0,0,"25,394","2,824",Final,,,,
201910,302891055,"Fish; fresh or chilled, trevally, whole",KGM,"89,435","11,933",0,0,"89,435","11,933",Final,,,,
201910,302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"23,324","1,875",0,0,"23,324","1,875",Final,,,,
201910,302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"252,610","18,912",0,0,"252,610","18,912",Final,,,,
201910,302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"82,585","5,690",0,0,"82,585","5,690",Final,,,,
201910,302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"52,345","4,361",0,0,"52,345","4,361",Final,,,,
201910,302892035,"Fish; fresh or chilled, monkfish, headed and gutted",KGM,146,12,0,0,146,12,Final,,,,
201910,302892055,"Fish; fresh or chilled, trevally, headed and gutted",KGM,"21,500","4,837",0,0,"21,500","4,837",Final,,,,
201910,302892059,"Fish; fresh or chilled, yellowtail kingfish, headed and gutted",KGM,"7,156",803,0,0,"7,156",803,Final,,,,
201910,302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"160,343","16,963",0,0,"160,343","16,963",Final,,,,
201910,302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"28,148","1,585",0,0,"28,148","1,585",Final,,,,
