Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202208,302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"319,147","22,500",0,0,"319,147","22,500",Final,,,,
202208,302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"54,454","3,383",0,0,"54,454","3,383",Final,,,,
202208,302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"8,620",792,0,0,"8,620",792,Final,,,,
202208,302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"303,012","29,684",0,0,"303,012","29,684",Final,,,,
202208,302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"43,873","3,445",0,0,"43,873","3,445",Final,,,,
202208,302899013,"Fish; fresh or chilled, groper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"148,183","12,794",0,0,"148,183","12,794",Final,,,,
202208,302899021,"Fish; fresh or chilled, John Dory, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,222",109,0,0,"1,222",109,Final,,,,
202208,302899079,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"481,717","41,892",0,0,"481,717","41,892",Final,,,,
202208,303120010,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), whole",KGM,"25,143",860,0,0,"25,143",860,Final,,,,
202208,303120015,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), headed and gutted",KGM,"3,540",200,0,0,"3,540",200,Final,,,,
202208,303190039,"Fish; frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"7,056",231,0,0,"7,056",231,Final,,,,
202208,303240029,"Fish; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"2,808",400,0,0,"2,808",400,Final,,,,
202208,303330029,"Fish; frozen, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"4,105","1,460",0,0,"4,105","1,460",Final,,,,
202208,303390002,"Fish; frozen, flounder, whole",KGM,"1,051",110,0,0,"1,051",110,Final,,,,
202208,303390012,"Fish; frozen, lemon sole, whole",KGM,"4,980",490,0,0,"4,980",490,Final,,,,
202208,303390021,"Fish; frozen, New Zealand sole, whole",KGM,"24,021","4,690",0,0,"24,021","4,690",Final,,,,
202208,303390028,"Fish; frozen, flat fish, n.e.c. in item no. 0303.3, whole",KGM,"7,735","1,110",0,0,"7,735","1,110",Final,,,,
202208,303390041,"Fish; frozen, lemon sole, headed and gutted",KGM,"13,806","2,000",0,0,"13,806","2,000",Final,,,,
202208,303390051,"Fish; frozen, New Zealand sole, headed and gutted",KGM,"3,615",860,0,0,"3,615",860,Final,,,,
202208,303390062,"Fish; frozen, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,899,111,0,0,899,111,Final,,,,
202208,303390072,"Fish; frozen, lemon sole, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"10,230","2,380",0,0,"10,230","2,380",Final,,,,
202208,303390097,"Fish; frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"39,428","11,760",0,0,"39,428","11,760",Final,,,,
202208,303410001,"Fish; frozen, albacore or longfinned tunas (Thunnus alalunga), whole",KGM,"106,191","19,100",0,0,"106,191","19,100",Final,,,,
202208,303540010,"Fish; frozen, blue mackerel (Scomber australasicus), whole",KGM,"756,800","480,780",0,0,"756,800","480,780",Final,,,,
202208,303540019,"Fish; frozen, blue mackerel (Scomber australasicus), headed and gutted",KGM,"60,282","27,390",0,0,"60,282","27,390",Final,,,,
202208,303540031,"Fish; frozen, blue mackerel (Scomber australasicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"546,578","162,000",0,0,"546,578","162,000",Final,,,,
