Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202208,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,Indonesia,"1,963",988,0,0,"1,963",988,Final,,,
202208,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"Korea, Republic of","140,195","13,405",0,0,"140,195","13,405",Final,,,
202208,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,Philippines,"71,385","22,000",0,0,"71,385","22,000",Final,,,
202208,202200009,"Meat; of bovine animals, beef quarters of steer and heifer, G grade, with bone in, frozen",KGM,"Korea, Republic of","16,112","1,631",0,0,"16,112","1,631",Final,,,
202208,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"China, People's Republic of","1,368,025","179,800",0,0,"1,368,025","179,800",Final,,,
202208,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,United Arab Emirates,"8,187",508,0,0,"8,187",508,Final,,,
202208,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"Samoa, American","83,077","12,586",0,0,"83,077","12,586",Final,,,
202208,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Cook Islands,"10,701",801,0,0,"10,701",801,Final,,,
202208,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"China, People's Republic of","19,123,581","2,446,416",0,0,"19,123,581","2,446,416",Final,,,
202208,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Fiji,"3,659",142,0,0,"3,659",142,Final,,,
202208,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"Micronesia, Federated States of","7,063",430,0,0,"7,063",430,Final,,,
