Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202307,1905310033,"Food preparations; sweet biscuits (other than crackers and those which are centre-filled), partly coated, whether or not containing cocoa",KGM,"389,572","52,394",0,0,"389,572","52,394",Provisional
202307,1905310039,"Food preparations; sweet biscuits (other than crackers and those which are centre-filled), uncoated, whether or not containing cocoa",KGM,"2,933,511","259,433","4,117",690,"2,937,628","260,123",Provisional
202307,1905320029,"Food preparations; waffles and wafers, centre-filled, uncoated, whether or not containing cocoa",KGM,92,8,0,0,92,8,Provisional
202307,1905320031,"Food preparations; waffles and wafers, (other than those which are centre-filled), fully coated, whether or not containing cocoa",KGM,"1,510",128,0,0,"1,510",128,Provisional
202307,1905320033,"Food preparations; waffles and wafers, (other than those which are centre-filled), partly coated, whether or not containing cocoa",KGM,0,0,152,15,152,15,Provisional
202307,1905320039,"Food preparations; waffles and wafers, (other than those which are centre-filled), uncoated, whether or not containing cocoa",KGM,"2,677",167,0,0,"2,677",167,Provisional
202307,1905400001,"Food preparations; rusks, toasted bread and similar toasted products, containing added sugar, honey, fats, cheese or cocoa",KGM,0,0,124,8,124,8,Provisional
202307,1905400009,"Food preparations; rusks, toasted bread and similar toasted products, (excluding those containing added sugar, honey, fats, cheese or cocoa)",KGM,"6,940",778,"3,641",565,"10,581","1,343",Provisional
202307,1905900500,Food preparations; crackers,KGM,"950,267","100,897","18,756","1,170","969,023","102,066",Provisional
202307,1905900901,"Food preparations; biscuits (excluding sweet biscuits), whether or not containing cocoa",KGM,"43,925","3,867","4,866",319,"48,791","4,186",Provisional
202307,1905900909,"Food preparations; cakes (excluding gingerbread and the like), whether or not containing cocoa",KGM,"1,103,590","109,748",0,0,"1,103,590","109,748",Provisional
202307,1905900919,"Food preparations; bread, pastry and other bakers' wares n.e.c. in heading no. 1905, empty cachets suitable for pharmaceutical use, rice paper and similar products, whether or not containing cocoa",,"11,621,569",,"82,601",,"11,704,170",,Provisional
202307,2001100001,"Vegetable preparations; cucumbers, prepared or preserved by vinegar or acetic acid",KGM,624,2,0,0,624,2,Provisional
202307,2001100019,"Vegetable preparations; gherkins, prepared or preserved by vinegar or acetic acid",KGM,"64,223","20,620","1,747",301,"65,970","20,921",Provisional
202307,2001900112,"Vegetable preparations; onions, prepared or preserved by vinegar or acetic acid",KGM,325,58,60,9,385,67,Provisional
202307,2001900119,"Vegetable preparations; vegetables, fruit and nuts, prepared or preserved by vinegar or acetic acid (excluding cucumbers, gherkins and onions)",KGM,"19,275","2,071","4,852","1,569","24,127","3,640",Provisional
202307,2001900900,"Vegetable preparations; edible parts of plants n.e.c. in heading no. 2001, prepared or preserved by vinegar or acetic acid",KGM,"1,192",220,433,12,"1,625",232,Provisional
202307,2002100000,"Vegetable preparations; tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid",KGM,"30,041","7,787","5,072","1,059","35,113","8,846",Provisional
202307,2002900100,"Vegetable preparations; tomato juice, puree and concentrate, prepared or preserved otherwise than by vinegar or acetic acid",KGM,"522,989","202,602",591,140,"523,580","202,742",Provisional
202307,2002900900,"Vegetable preparations; tomatoes, (other than whole, in pieces, juice, puree or concentrate), prepared or preserved otherwise than by vinegar or acetic acid",KGM,"7,457","1,075","6,227","1,765","13,684","2,840",Provisional
202307,2003101000,"Vegetable preparations; mushrooms of the genus Agaricus, prepared or preserved otherwise than by vinegar or acetic acid",KGM,"5,261",225,0,0,"5,261",225,Provisional
