Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202207,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"China, People's Republic of","208,822","19,878",0,0,"208,822","19,878",Final,,,
202207,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Fiji,"24,895",876,0,0,"24,895",876,Final,,,
202207,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"13,497","1,321",0,0,"13,497","1,321",Final,,,
202207,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Niue,"1,235",41,0,0,"1,235",41,Final,,,
202207,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Singapore,"20,496","1,205",0,0,"20,496","1,205",Final,,,
202207,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United States of America,"183,732","12,394",0,0,"183,732","12,394",Final,,,
202207,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Wallis and Futuna,"4,866",220,0,0,"4,866",220,Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,United Arab Emirates,"37,774","1,165",0,0,"37,774","1,165",Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Australia,"13,914",601,0,0,"13,914",601,Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Belgium,"17,275",682,0,0,"17,275",682,Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Bahrain,"63,836","1,925",0,0,"63,836","1,925",Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Canada,"11,493",531,0,0,"11,493",531,Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"China, People's Republic of","2,015,076","155,571",0,0,"2,015,076","155,571",Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Germany,"120,343","4,494",0,0,"120,343","4,494",Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Denmark,"116,477","4,030",0,0,"116,477","4,030",Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"25,117","1,044",0,0,"25,117","1,044",Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Japan,"1,184,024","55,280",0,0,"1,184,024","55,280",Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Kuwait,"29,724",950,0,0,"29,724",950,Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,French Polynesia,"71,126","3,878",0,0,"71,126","3,878",Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Qatar,"6,539",209,0,0,"6,539",209,Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Saudi Arabia,"21,539",662,0,0,"21,539",662,Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Singapore,"15,076",542,0,0,"15,076",542,Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Taiwan,"137,050","8,824",0,0,"137,050","8,824",Final,,,
202207,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Viet Nam,"24,581","1,010",0,0,"24,581","1,010",Final,,,
202207,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"China, People's Republic of","70,684","17,834",0,0,"70,684","17,834",Final,,,
202207,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"China, People's Republic of","108,087","38,972",0,0,"108,087","38,972",Final,,,
202207,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,Fiji,"10,736",491,0,0,"10,736",491,Final,,,
202207,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,Indonesia,"29,870","15,010",0,0,"29,870","15,010",Final,,,
202207,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"Korea, Republic of","123,550","15,801",0,0,"123,550","15,801",Final,,,
202207,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,Papua New Guinea,"17,158",989,0,0,"17,158",989,Final,,,
202207,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,Singapore,"27,396","1,205",0,0,"27,396","1,205",Final,,,
202207,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"China, People's Republic of","2,085,379","259,612",0,0,"2,085,379","259,612",Final,,,
