Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202201,302340029,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"15,741","1,194",0,0,"15,741","1,194",Final,,,,
202201,302350049,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"2,281",179,0,0,"2,281",179,Final,,,,
202201,302360010,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), whole",KGM,804,113,0,0,804,113,Final,,,,
202201,302360029,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,387",115,0,0,"1,387",115,Final,,,,
202201,302440010,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), whole",KGM,342,35,0,0,342,35,Final,,,,
202201,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"55,296","3,965",0,0,"55,296","3,965",Final,,,,
202201,302490019,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,649",180,0,0,"1,649",180,Final,,,,
202201,302510010,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), whole",KGM,"29,925","1,622",0,0,"29,925","1,622",Final,,,,
202201,302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"7,447","1,242",0,0,"7,447","1,242",Final,,,,
202201,302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"4,443",197,0,0,"4,443",197,Final,,,,
202201,302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,185,26,0,0,185,26,Final,,,,
202201,302590029,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,485,17,0,0,485,17,Final,,,,
202201,302740010,"Fish; fresh or chilled, eels (Anguilla spp.), whole",KGM,"2,434",150,0,0,"2,434",150,Final,,,,
202201,302740029,"Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"3,059",177,0,0,"3,059",177,Final,,,,
202201,302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"90,095","9,370",0,0,"90,095","9,370",Final,,,,
202201,302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"162,375","19,813",0,0,"162,375","19,813",Final,,,,
202201,302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"116,999","14,157",0,0,"116,999","14,157",Final,,,,
202201,302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"2,533,043","228,237",0,0,"2,533,043","228,237",Final,,,,
202201,302850019,"Fish; fresh or chilled, seabream (Sparidae), other than snapper, whole",KGM,"13,721","1,107",0,0,"13,721","1,107",Final,,,,
202201,302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"199,863","13,466",0,0,"199,863","13,466",Final,,,,
202201,302891015,"Fish; fresh or chilled, groper, whole",KGM,"160,391","9,229",0,0,"160,391","9,229",Final,,,,
202201,302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"7,733",861,636,99,"8,369",960,Final,,,,
202201,302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"329,390","29,735",0,0,"329,390","29,735",Final,,,,
202201,302891039,"Fish; fresh or chilled, mullet, whole",KGM,128,12,0,0,128,12,Final,,,,
202201,302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"7,238",853,0,0,"7,238",853,Final,,,,
202201,302891055,"Fish; fresh or chilled, trevally, whole",KGM,"65,204","8,096",0,0,"65,204","8,096",Final,,,,
202201,302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"8,138",554,0,0,"8,138",554,Final,,,,
202201,302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"66,251","5,768",0,0,"66,251","5,768",Final,,,,
202201,302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"128,994","8,402",0,0,"128,994","8,402",Final,,,,
202201,302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"25,392","1,853",0,0,"25,392","1,853",Final,,,,
202201,302892035,"Fish; fresh or chilled, monkfish, headed and gutted",KGM,"2,152",135,0,0,"2,152",135,Final,,,,
202201,302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"95,218","8,494",0,0,"95,218","8,494",Final,,,,
202201,302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"8,970",616,0,0,"8,970",616,Final,,,,
202201,302899013,"Fish; fresh or chilled, groper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"107,801","7,618",0,0,"107,801","7,618",Final,,,,
202201,302899021,"Fish; fresh or chilled, John Dory, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,591",158,0,0,"1,591",158,Final,,,,
202201,302899027,"Fish; fresh or chilled, monkfish, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"2,792",197,0,0,"2,792",197,Final,,,,
202201,302899079,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"300,757","29,015","1,656",181,"302,413","29,196",Final,,,,
202201,302910010,"Fish; fresh or chilled, livers and roes of salmonidae",KGM,170,16,0,0,170,16,Final,,,,
202201,302910019,"Fish; fresh or chilled, livers, roes and milt, n.e.c. in item 0302.91",KGM,"80,587","14,013",0,0,"80,587","14,013",Final,,,,
202201,303120015,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), headed and gutted",KGM,"189,976","15,402",0,0,"189,976","15,402",Final,,,,
202201,303120029,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, meat of 0304, and edible fish offal of 0303.9, other than whole or headed and gutted",KGM,"1,231",36,0,0,"1,231",36,Final,,,,
202201,303190039,"Fish; frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"7,365",296,0,0,"7,365",296,Final,,,,
202201,303330029,"Fish; frozen, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"19,890","3,000",0,0,"19,890","3,000",Final,,,,
202201,303340010,"Fish; frozen, turbots (Psetta maxima, Scophthalmidae), whole",KGM,340,50,0,0,340,50,Final,,,,
202201,303390002,"Fish; frozen, flounder, whole",KGM,"25,595","2,590",40,3,"25,635","2,593",Final,,,,
202201,303390012,"Fish; frozen, lemon sole, whole",KGM,"103,509","15,130",0,0,"103,509","15,130",Final,,,,
202201,303390021,"Fish; frozen, New Zealand sole, whole",KGM,"71,553","10,520",0,0,"71,553","10,520",Final,,,,
202201,303390028,"Fish; frozen, flat fish, n.e.c. in item no. 0303.3, whole",KGM,"68,349","7,480",0,0,"68,349","7,480",Final,,,,
202201,303390031,"Fish; frozen, flounder, headed and gutted",KGM,"1,018",80,0,0,"1,018",80,Final,,,,
202201,303390051,"Fish; frozen, New Zealand sole, headed and gutted",KGM,"2,866",720,0,0,"2,866",720,Final,,,,
202201,303390072,"Fish; frozen, lemon sole, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,458,110,0,0,458,110,Final,,,,
202201,303390082,"Fish; frozen, New Zealand sole, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"27,434","4,240",0,0,"27,434","4,240",Final,,,,
202201,303410001,"Fish; frozen, albacore or longfinned tunas (Thunnus alalunga), whole",KGM,"1,582,446","265,956",0,0,"1,582,446","265,956",Final,,,,
202201,303410011,"Fish; frozen, albacore or longfinned tunas (Thunnus alalunga), headed and gutted",KGM,414,21,0,0,414,21,Final,,,,
