Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201907,302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"14,923","1,712",0,0,"14,923","1,712",Final,,,,
201907,302891055,"Fish; fresh or chilled, trevally, whole",KGM,"57,737","7,350",0,0,"57,737","7,350",Final,,,,
201907,302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"31,251","2,570",0,0,"31,251","2,570",Final,,,,
201907,302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"328,653","28,376",0,0,"328,653","28,376",Final,,,,
201907,302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"21,693","1,573",0,0,"21,693","1,573",Final,,,,
201907,302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"159,214","11,104",0,0,"159,214","11,104",Final,,,,
201907,302892029,"Fish; fresh or chilled, leatherjacket, headed and gutted",KGM,"2,513",438,0,0,"2,513",438,Final,,,,
201907,302892035,"Fish; fresh or chilled, monkfish, headed and gutted",KGM,100,10,0,0,100,10,Final,,,,
201907,302892055,"Fish; fresh or chilled, trevally, headed and gutted",KGM,"9,000","2,278",0,0,"9,000","2,278",Final,,,,
201907,302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"158,493","17,564",0,0,"158,493","17,564",Final,,,,
201907,302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"6,706",428,0,0,"6,706",428,Final,,,,
201907,302899013,"Fish; fresh or chilled, groper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"196,450","14,876",0,0,"196,450","14,876",Final,,,,
201907,302899021,"Fish; fresh or chilled, John Dory, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"20,441","1,130",0,0,"20,441","1,130",Final,,,,
201907,302899079,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"462,302","50,592",0,0,"462,302","50,592",Final,,,,
201907,302910010,"Fish; fresh or chilled, livers and roes of salmonidae",KGM,"1,155",7,0,0,"1,155",7,Final,,,,
201907,302910019,"Fish; fresh or chilled, livers, roes and milt, n.e.c. in item 0302.91",KGM,"1,015",50,0,0,"1,015",50,Final,,,,
201907,303120015,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), headed and gutted",KGM,"18,052",820,0,0,"18,052",820,Final,,,,
201907,303120029,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, meat of 0304, and edible fish offal of 0303.9, other than whole or headed and gutted",KGM,"11,334","4,149",0,0,"11,334","4,149",Final,,,,
201907,303260015,"Fish; frozen, eels (Anguilla spp.), headed and gutted",KGM,"10,308","2,997",0,0,"10,308","2,997",Final,,,,
201907,303260029,"Fish; frozen, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"107,843","6,840",0,0,"107,843","6,840",Final,,,,
201907,303290049,"Fish; frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"11,989","3,435",0,0,"11,989","3,435",Final,,,,
