Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201906,302892055,"Fish; fresh or chilled, trevally, headed and gutted",KGM,"10,264","2,412",0,0,"10,264","2,412",Final,,,,
201906,302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"139,642","14,477",0,0,"139,642","14,477",Final,,,,
201906,302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"5,557",391,0,0,"5,557",391,Final,,,,
201906,302899013,"Fish; fresh or chilled, groper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"75,605","5,276",0,0,"75,605","5,276",Final,,,,
201906,302899021,"Fish; fresh or chilled, John Dory, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"9,700",991,0,0,"9,700",991,Final,,,,
201906,302899079,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"402,196","45,593",0,0,"402,196","45,593",Final,,,,
201906,302910010,"Fish; fresh or chilled, livers and roes of salmonidae",KGM,198,1,0,0,198,1,Final,,,,
201906,302910019,"Fish; fresh or chilled, livers, roes and milt, n.e.c. in item 0302.91",KGM,951,85,0,0,951,85,Final,,,,
201906,303120010,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), whole",KGM,"124,742","11,739",0,0,"124,742","11,739",Final,,,,
201906,303120015,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), headed and gutted",KGM,"314,811","18,925",0,0,"314,811","18,925",Final,,,,
201906,303120029,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, meat of 0304, and edible fish offal of 0303.9, other than whole or headed and gutted",KGM,"7,077",257,0,0,"7,077",257,Final,,,,
201906,303190039,"Fish; frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,738,25,0,0,738,25,Final,,,,
201906,303260010,"Fish; frozen, eels (Anguilla spp.), whole",KGM,"63,691","16,038",0,0,"63,691","16,038",Final,,,,
