Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202302,302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"389,818","36,268",0,0,"389,818","36,268",Final,,,,
202302,302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"83,068","3,956",0,0,"83,068","3,956",Final,,,,
202302,302899013,"Fish; fresh or chilled, groper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"130,992","8,038",0,0,"130,992","8,038",Final,,,,
202302,302899021,"Fish; fresh or chilled, John Dory, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,609,52,0,0,609,52,Final,,,,
202302,302899027,"Fish; fresh or chilled, monkfish, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"3,596",431,0,0,"3,596",431,Final,,,,
202302,302899079,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"351,555","31,750",0,0,"351,555","31,750",Final,,,,
202302,303120015,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), headed and gutted",KGM,"2,014",103,0,0,"2,014",103,Final,,,,
202302,303330011,"Fish; frozen, sole (Solea spp.), headed and gutted",KGM,"101,145","12,962",0,0,"101,145","12,962",Final,,,,
202302,303330029,"Fish; frozen, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"16,190","2,300",0,0,"16,190","2,300",Final,,,,
202302,303390002,"Fish; frozen, flounder, whole",KGM,"13,725","1,210",0,0,"13,725","1,210",Final,,,,
202302,303390012,"Fish; frozen, lemon sole, whole",KGM,"190,410","26,630",0,0,"190,410","26,630",Final,,,,
202302,303390021,"Fish; frozen, New Zealand sole, whole",KGM,"56,136","8,180",0,0,"56,136","8,180",Final,,,,
202302,303390028,"Fish; frozen, flat fish, n.e.c. in item no. 0303.3, whole",KGM,"6,406",540,0,0,"6,406",540,Final,,,,
202302,303390051,"Fish; frozen, New Zealand sole, headed and gutted",KGM,"8,655","1,990",0,0,"8,655","1,990",Final,,,,
202302,303390062,"Fish; frozen, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"3,861",230,0,0,"3,861",230,Final,,,,
202302,303390072,"Fish; frozen, lemon sole, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"6,788","1,020",0,0,"6,788","1,020",Final,,,,
202302,303390082,"Fish; frozen, New Zealand sole, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"83,391","14,496",0,0,"83,391","14,496",Final,,,,
202302,303390097,"Fish; frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"3,284",550,0,0,"3,284",550,Final,,,,
202302,303410001,"Fish; frozen, albacore or longfinned tunas (Thunnus alalunga), whole",KGM,"2,583,979","469,925",0,0,"2,583,979","469,925",Final,,,,
202302,303430001,"Fish; frozen, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), whole",KGM,"177,509","77,116",0,0,"177,509","77,116",Final,,,,
202302,303540010,"Fish; frozen, blue mackerel (Scomber australasicus), whole",KGM,"492,398","271,924",0,0,"492,398","271,924",Final,,,,
202302,303540019,"Fish; frozen, blue mackerel (Scomber australasicus), headed and gutted",KGM,"17,807","7,733",0,0,"17,807","7,733",Final,,,,
