Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201901,302891039,"Fish; fresh or chilled, mullet, whole",KGM,"9,992",991,0,0,"9,992",991,Final,,,,
201901,302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"19,499","2,434",0,0,"19,499","2,434",Final,,,,
201901,302891055,"Fish; fresh or chilled, trevally, whole",KGM,"90,081","14,567",0,0,"90,081","14,567",Final,,,,
201901,302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"10,092",766,0,0,"10,092",766,Final,,,,
201901,302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"225,466","18,973",0,0,"225,466","18,973",Final,,,,
201901,302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"91,825","6,301",0,0,"91,825","6,301",Final,,,,
201901,302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"72,364","4,980",0,0,"72,364","4,980",Final,,,,
201901,302892029,"Fish; fresh or chilled, leatherjacket, headed and gutted",KGM,46,10,0,0,46,10,Final,,,,
201901,302892055,"Fish; fresh or chilled, trevally, headed and gutted",KGM,"4,536","1,202",0,0,"4,536","1,202",Final,,,,
201901,302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"63,886","8,608",0,0,"63,886","8,608",Final,,,,
201901,302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"20,515","1,320",0,0,"20,515","1,320",Final,,,,
201901,302899013,"Fish; fresh or chilled, groper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"53,994","4,822",0,0,"53,994","4,822",Final,,,,
201901,302899017,"Fish; fresh or chilled, gurnard, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,104,10,0,0,104,10,Final,,,,
201901,302899079,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"336,488","36,124",0,0,"336,488","36,124",Final,,,,
201901,302910019,"Fish; fresh or chilled, livers, roes and milt, n.e.c. in item 0302.91",KGM,758,77,0,0,758,77,Final,,,,
201901,303120010,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), whole",KGM,259,14,0,0,259,14,Final,,,,
201901,303120029,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, meat of 0304, and edible fish offal of 0303.9, other than whole or headed and gutted",KGM,"5,463",136,0,0,"5,463",136,Final,,,,
201901,303260010,"Fish; frozen, eels (Anguilla spp.), whole",KGM,"116,212","15,840",0,0,"116,212","15,840",Final,,,,
201901,303260015,"Fish; frozen, eels (Anguilla spp.), headed and gutted",KGM,937,64,0,0,937,64,Final,,,,
201901,303260029,"Fish; frozen, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"155,565","11,009",0,0,"155,565","11,009",Final,,,,
201901,303330011,"Fish; frozen, sole (Solea spp.), headed and gutted",KGM,"1,139",200,0,0,"1,139",200,Final,,,,
201901,303390002,"Fish; frozen, flounder, whole",KGM,"26,939","3,088",0,0,"26,939","3,088",Final,,,,
201901,303390012,"Fish; frozen, lemon sole, whole",KGM,"16,822","2,390",0,0,"16,822","2,390",Final,,,,
201901,303390021,"Fish; frozen, New Zealand sole, whole",KGM,"67,858","12,200",0,0,"67,858","12,200",Final,,,,
201901,303390028,"Fish; frozen, flat fish, n.e.c. in item no. 0303.3, whole",KGM,"17,276","2,200",0,0,"17,276","2,200",Final,,,,
201901,303390051,"Fish; frozen, New Zealand sole, headed and gutted",KGM,"7,167","1,720",0,0,"7,167","1,720",Final,,,,
