Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201908,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"145,638","14,113",0,0,"145,638","14,113",Final,,,,
201908,302290012,"Fish; fresh or chilled, lemon sole, whole",KGM,"4,554",530,0,0,"4,554",530,Final,,,,
201908,302290031,"Fish; fresh or chilled, flounder, headed and gutted",KGM,45,6,0,0,45,6,Final,,,,
201908,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"48,139","3,848",0,0,"48,139","3,848",Final,,,,
201908,302310001,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), whole",KGM,685,97,0,0,685,97,Final,,,,
201908,302310011,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), headed and gutted",KGM,"1,232",67,0,0,"1,232",67,Final,,,,
201908,302340010,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), whole",KGM,"35,665","1,194",0,0,"35,665","1,194",Final,,,,
201908,302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,"19,989","1,720",0,0,"19,989","1,720",Final,,,,
201908,302340029,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,129,2,0,0,129,2,Final,,,,
201908,302350033,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), whole",KGM,"119,680","5,522",0,0,"119,680","5,522",Final,,,,
201908,302350035,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), headed and gutted",KGM,"13,589",919,0,0,"13,589",919,Final,,,,
201908,302360010,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), whole",KGM,"648,861","42,519",0,0,"648,861","42,519",Final,,,,
201908,302360012,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), headed and gutted",KGM,"575,522","50,839",0,0,"575,522","50,839",Final,,,,
201908,302390007,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, whole",KGM,369,35,0,0,369,35,Final,,,,
201908,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"99,177","7,844",0,0,"99,177","7,844",Final,,,,
201908,302490019,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,165,37,0,0,165,37,Final,,,,
201908,302510010,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), whole",KGM,"12,573",661,0,0,"12,573",661,Final,,,,
201908,302510015,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), headed and gutted",KGM,"10,968",745,0,0,"10,968",745,Final,,,,
201908,302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"11,484","1,797",0,0,"11,484","1,797",Final,,,,
201908,302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"7,756",682,0,0,"7,756",682,Final,,,,
201908,302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,"281,094","54,003",0,0,"281,094","54,003",Final,,,,
201908,302590029,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"36,514","2,784",0,0,"36,514","2,784",Final,,,,
201908,302740010,"Fish; fresh or chilled, eels (Anguilla spp.), whole",KGM,"5,159",354,0,0,"5,159",354,Final,,,,
201908,302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"62,379","6,867",0,0,"62,379","6,867",Final,,,,
201908,302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"105,888","14,909","6,652",979,"112,540","15,888",Final,,,,
201908,302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"60,096","6,736",0,0,"60,096","6,736",Final,,,,
201908,302820029,"Fish; fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,141,10,0,0,141,10,Final,,,,
201908,302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"2,284,376","214,740",0,0,"2,284,376","214,740",Final,,,,
201908,302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"178,496","14,143",0,0,"178,496","14,143",Final,,,,
201908,302891015,"Fish; fresh or chilled, groper, whole",KGM,"311,826","20,198",0,0,"311,826","20,198",Final,,,,
201908,302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"23,333","2,460",0,0,"23,333","2,460",Final,,,,
201908,302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"106,054","8,237",0,0,"106,054","8,237",Final,,,,
201908,302891035,"Fish; fresh or chilled, monkfish, whole",KGM,"5,348",367,0,0,"5,348",367,Final,,,,
201908,302891039,"Fish; fresh or chilled, mullet, whole",KGM,"5,658",579,0,0,"5,658",579,Final,,,,
201908,302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"12,456","1,469",0,0,"12,456","1,469",Final,,,,
201908,302891055,"Fish; fresh or chilled, trevally, whole",KGM,"59,473","7,723",0,0,"59,473","7,723",Final,,,,
201908,302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"21,880","1,703",0,0,"21,880","1,703",Final,,,,
201908,302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"257,446","20,127",0,0,"257,446","20,127",Final,,,,
201908,302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"26,579","2,057","7,776","1,144","34,355","3,201",Final,,,,
201908,302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"24,907","1,771",0,0,"24,907","1,771",Final,,,,
201908,302892029,"Fish; fresh or chilled, leatherjacket, headed and gutted",KGM,"2,343",392,0,0,"2,343",392,Final,,,,
201908,302892055,"Fish; fresh or chilled, trevally, headed and gutted",KGM,"10,408","2,218",0,0,"10,408","2,218",Final,,,,
201908,302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"176,252","18,502",0,0,"176,252","18,502",Final,,,,
201908,302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"7,949",520,0,0,"7,949",520,Final,,,,
201908,302899013,"Fish; fresh or chilled, groper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"19,512","1,745",0,0,"19,512","1,745",Final,,,,
201908,302899079,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"410,032","46,165",0,0,"410,032","46,165",Final,,,,
201908,302910010,"Fish; fresh or chilled, livers and roes of salmonidae",KGM,849,6,0,0,849,6,Final,,,,
201908,303120010,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), whole",KGM,"16,299",782,0,0,"16,299",782,Final,,,,
201908,303120029,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, meat of 0304, and edible fish offal of 0303.9, other than whole or headed and gutted",KGM,"46,403","5,115",0,0,"46,403","5,115",Final,,,,
201908,303190039,"Fish; frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,738,25,0,0,738,25,Final,,,,
201908,303240029,"Fish; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,476,80,0,0,476,80,Final,,,,
