Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202203,302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"41,812","2,446",0,0,"41,812","2,446",Final,,,,
202203,302899013,"Fish; fresh or chilled, groper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"136,704","10,376",0,0,"136,704","10,376",Final,,,,
202203,302899027,"Fish; fresh or chilled, monkfish, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"4,121",309,0,0,"4,121",309,Final,,,,
202203,302899079,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"440,134","36,130",0,0,"440,134","36,130",Final,,,,
202203,303120010,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), whole",KGM,"8,937",270,0,0,"8,937",270,Final,,,,
202203,303120015,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), headed and gutted",KGM,"135,221","7,305",0,0,"135,221","7,305",Final,,,,
202203,303120029,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, meat of 0304, and edible fish offal of 0303.9, other than whole or headed and gutted",KGM,"22,319","5,065",0,0,"22,319","5,065",Final,,,,
202203,303260010,"Fish; frozen, eels (Anguilla spp.), whole",KGM,"11,174",705,0,0,"11,174",705,Final,,,,
202203,303330029,"Fish; frozen, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"10,160","1,470",0,0,"10,160","1,470",Final,,,,
202203,303390002,"Fish; frozen, flounder, whole",KGM,0,0,502,55,502,55,Final,,,,
202203,303390012,"Fish; frozen, lemon sole, whole",KGM,"105,791","15,050",0,0,"105,791","15,050",Final,,,,
